,species,lat,long
1082,"Phlebotomus argentipes Annandale & Brunetti, 1908",8.2,80.34
1148,"Phlebotomus simici Nitzulescu, 1931",37.18,22.1
1168,"Phlebotomus perniciosus Newstead, 1911",50,12.13
1190,"Phlebotomus neglectus Tonnoir, 1921",37.8945,24.7422
1192,"Phlebotomus tobbi Adler, Theodor & Lourie, 1930",37.8945,24.7422
1193,"Phlebotomus neglectus Tonnoir, 1921",37.9358,24.7302
1195,"Phlebotomus tobbi Adler, Theodor & Lourie, 1930",37.9358,24.7302
1197,"Phlebotomus neglectus Tonnoir, 1921",37.9622,24.7483
1199,"Phlebotomus tobbi Adler, Theodor & Lourie, 1930",37.9622,24.7483
1200,"Phlebotomus simici Nitzulescu, 1931",37.9622,24.7483
1201,"Phlebotomus neglectus Tonnoir, 1921",37.8918,24.7353
1202,"Phlebotomus neglectus Tonnoir, 1921",37.8495,24.9088
1204,"Phlebotomus neglectus Tonnoir, 1921",37.85,24.909
1207,"Phlebotomus similis Perfil'ev, 1963",37.8482,24.9087
1209,"Phlebotomus neglectus Tonnoir, 1921",37.8482,24.9085
1210,"Phlebotomus similis Perfil'ev, 1963",37.8482,24.9085
1212,"Phlebotomus similis Perfil'ev, 1963",37.7657,24.932
1213,"Phlebotomus neglectus Tonnoir, 1921",37.7686,24.9378
1215,"Phlebotomus simici Nitzulescu, 1931",37.7686,24.9378
1216,"Phlebotomus similis Perfil'ev, 1963",37.7686,24.9378
1218,"Phlebotomus neglectus Tonnoir, 1921",37.6133,26.0943
1220,"Phlebotomus simici Nitzulescu, 1931",37.6133,26.0943
1222,"Phlebotomus neglectus Tonnoir, 1921",37.6054,26.0836
1224,"Phlebotomus simici Nitzulescu, 1931",37.6054,26.0836
1226,"Phlebotomus similis Perfil'ev, 1963",37.6054,26.0836
1227,"Phlebotomus simici Nitzulescu, 1931",37.5849,26.0649
1228,"Phlebotomus neglectus Tonnoir, 1921",37.6009,26.0787
1229,"Phlebotomus tobbi Adler, Theodor & Lourie, 1930",37.6009,26.0787
1230,"Phlebotomus simici Nitzulescu, 1931",37.6009,26.0787
1232,"Phlebotomus neglectus Tonnoir, 1921",37.5753,26.0306
1234,"Phlebotomus tobbi Adler, Theodor & Lourie, 1930",37.5753,26.0306
1235,"Phlebotomus simici Nitzulescu, 1931",37.5753,26.0306
