bio1,predicted_presence_probability
-54.14683533,0.020741376
-53.29477302,0.02171144
-52.44271072,0.022725819
-51.59064842,0.023786439
-50.73858612,0.024895298
-49.88652382,0.026054469
-49.03446151,0.027266104
-48.18239921,0.028532434
-47.33033691,0.029855771
-46.47827461,0.031238512
-45.6262123,0.032683135
-44.77415,0.034192207
-43.9220877,0.03576838
-43.0700254,0.037414397
-42.21796309,0.039133086
-41.36590079,0.04092737
-40.51383849,0.042800258
-39.66177619,0.044754853
-38.80971388,0.046794346
-37.95765158,0.04892202
-37.10558928,0.051141245
-36.25352698,0.053455482
-35.40146467,0.055868277
-34.54940237,0.058383259
-33.69734007,0.061004141
-32.84527777,0.063734714
-31.99321546,0.066578842
-31.14115316,0.069540461
-30.28909086,0.072623572
-29.43702856,0.075832233
-28.58496625,0.079170558
-27.73290395,0.082642702
-26.88084165,0.086252858
-26.02877935,0.090005247
-25.17671705,0.093904106
-24.32465474,0.097953676
-23.47259244,0.102158192
-22.62053014,0.10652187
-21.76846784,0.111048887
-20.91640553,0.115743373
-20.06434323,0.120609388
-19.21228093,0.125650907
-18.36021863,0.130871802
-17.50815632,0.136275819
-16.65609402,0.141866557
-15.80403172,0.147647448
-14.95196942,0.153621733
-14.09990711,0.159792437
-13.24784481,0.166162346
-12.39578251,0.172733979
-11.54372021,0.179509564
-10.6916579,0.18649101
-9.839595602,0.193679885
-8.9875333,0.20107738
-8.135470997,0.208684294
-7.283408695,0.216500999
-6.431346392,0.224527418
-5.57928409,0.232763002
-4.727221788,0.241206705
-3.875159485,0.249856961
-3.023097183,0.258711666
-2.17103488,0.26776816
-1.318972578,0.277023211
-0.466910276,0.286472998
0.385152027,0.29611311
1.237214329,0.305938529
2.089276632,0.315943631
2.941338934,0.326122189
3.793401236,0.336467371
4.645463539,0.346971751
5.497525841,0.357627321
6.349588144,0.368425506
7.201650446,0.379357186
8.053712749,0.390412719
8.905775051,0.401581972
9.757837353,0.41285435
10.60989966,0.424218836
11.46196196,0.435664031
12.31402426,0.447178193
13.16608656,0.458749292
14.01814887,0.470365049
14.87021117,0.482012996
15.72227347,0.493680525
16.57433577,0.505354941
17.42639807,0.51702352
18.27846038,0.528673565
19.13052268,0.540292457
19.98258498,0.551867714
20.83464728,0.563387041
21.68670959,0.574838383
22.53877189,0.586209975
23.39083419,0.597490387
24.24289649,0.608668568
25.0949588,0.619733888
25.9470211,0.630676174
26.7990834,0.641485742
27.6511457,0.652153428
28.50320801,0.662670612
29.35527031,0.673029237
30.20733261,0.68322183
